TV,Radio,Newspaper
116.0,7.7,23.1
177.0,9.3,6.4
43.1,26.7,35.1
62.3,12.6,18.3
224.0,2.4,15.6
38.2,3.7,13.8
70.6,16.0,40.8
147.3,23.9,19.1
104.6,5.7,34.4
76.3,27.5,16.0
78.2,46.8,34.5
168.4,7.1,12.8
8.7,48.9,75.0
7.8,38.9,50.6
76.4,0.8,14.8
129.4,5.7,31.3
73.4,17.0,12.9
289.7,42.3,51.2
19.6,20.1,17.0
197.6,3.5,5.9
284.3,10.6,6.4
184.9,21.0,22.0
112.9,17.4,38.6
23.8,35.1,65.9
290.7,4.1,8.5
19.4,16.0,22.3
293.6,27.7,1.8
18.7,12.1,23.4
134.3,4.9,9.3
25.6,39.0,9.3
100.4,9.6,3.6
80.2,0.0,9.2
188.4,18.1,25.6
177.0,33.4,38.7
125.7,36.9,79.2
209.6,20.6,10.7
142.9,29.3,12.6
184.9,43.9,1.7
222.4,4.3,49.8
241.7,38.0,23.2
17.2,45.9,69.3
120.5,28.5,14.2
89.7,9.9,35.7
191.1,28.7,18.2
75.5,10.8,6.0
193.2,18.4,65.7
85.7,35.8,49.3
266.9,43.8,5.0
39.5,41.1,5.8
261.3,42.7,54.7
13.2,15.9,49.6
193.7,35.4,75.6
296.4,36.3,100.9
265.6,20.0,0.3
214.7,24.0,4.0
149.7,35.6,6.0
131.7,18.4,34.6
57.5,32.8,23.5
240.1,16.7,22.9
141.3,26.8,46.2
180.8,10.8,58.4
97.2,1.5,30.0
220.5,33.2,37.9
140.3,1.9,9.0
255.4,26.9,5.5
96.2,14.8,38.9
66.1,5.8,24.2
239.3,15.5,27.3
175.7,15.4,2.4
240.1,7.3,8.7
17.9,37.6,21.6
230.1,37.8,69.2
283.6,42.0,66.2
171.3,39.7,37.7
199.1,30.6,38.7
123.1,34.6,12.4
131.1,42.8,28.9
25.1,25.7,43.3
163.5,36.8,7.4
248.8,27.1,22.9
202.5,22.3,31.6
13.1,0.4,25.6
4.1,11.6,5.7
93.9,43.5,50.5
262.9,3.5,19.5
228.3,16.9,26.2
253.8,21.3,30.0
243.2,49.0,44.3
239.8,4.1,36.9
228.0,37.7,32.0
215.4,23.6,57.6
239.9,41.5,18.5
107.4,14.0,10.9
187.8,21.1,9.5
206.9,8.4,26.4
43.0,25.9,20.5
151.5,41.3,58.5
137.9,46.4,59.0
182.6,46.2,58.7
219.8,33.5,45.1
156.6,2.6,8.3
276.7,2.3,23.7
205.0,45.1,19.6
66.9,11.7,36.8
76.4,26.7,22.3
95.7,1.4,7.4
120.2,19.6,11.6
225.8,8.2,56.5
28.6,1.5,33.0
68.4,44.5,35.6
248.4,30.2,20.3
218.5,5.4,27.4
109.8,47.8,51.4
8.6,2.1,1.0
97.5,7.6,7.2
210.7,29.5,9.3
164.5,20.9,47.4
265.2,2.9,43.0
281.4,39.6,55.8
26.8,33.0,19.3
276.9,48.9,41.8
36.9,38.6,65.6
206.8,5.2,19.4
287.6,43.0,71.8
102.7,29.6,8.4
262.7,28.8,15.9
90.4,0.3,23.2
199.8,3.1,34.6
94.2,4.9,8.1
210.8,49.6,37.7
227.2,15.8,49.9
88.3,25.5,73.4
237.4,5.1,23.5
136.2,19.2,16.6
172.5,18.1,30.7
17.2,4.1,31.6
59.6,12.0,43.1
74.7,49.4,45.7
149.8,1.3,24.3
166.8,42.0,3.6
44.5,39.3,45.1
216.4,41.7,39.6
44.7,25.8,20.6
0.7,39.6,8.7
121.0,8.4,48.7
187.9,17.2,17.9
135.2,41.7,45.9
139.2,14.3,25.6
110.7,40.6,63.2
213.4,24.6,13.1
18.8,21.7,50.4
232.1,8.6,8.7
218.4,27.7,53.4
286.0,13.9,3.7
109.8,14.3,31.7
25.0,11.0,29.7
204.1,32.9,46.0
217.7,33.5,59.0
165.6,10.0,17.6
280.2,10.1,21.4
